index,time,RFstar_51DE,RFstar_040D,RFstar_1B7B,RFstar_6891,RFstar_EFBC,RFstar_2037,RFstar_0259,RFstar_4EE6,RFstar_9E56,RFstar_B613,RFstar_9120,RFstar_B571,RFstar_8FBE,RFstar_78B2,RFstar_FA6E,RFstar_02C5,RFstar_D4E4,RFstar_FB47,RFstar_54CE,RFstar_3D4D,RFstar_6F5F,RFstar_D8FC,RFstar_9F01,RFstar_30C2,RFstar_3D81,RFstar_42D5
0,2022-07-22-10:16:34,100,100,-96,-86,-85,100,-89,-88,-96,-99,-89,-81,100,100,-87,-68,100,-79,-89,-88,-91,100,-65,-90,100,100
1,2022-07-22-10:16:39,100,100,100,-80,-89,100,100,-87,100,-91,-85,-70,100,100,-90,-65,100,-78,-87,-82,-78,100,-56,-89,100,100
2,2022-07-22-10:16:44,100,100,100,-87,-88,100,-93,-89,100,-95,100,-85,100,100,-89,-66,100,-75,-79,-88,-95,100,-69,100,100,100
3,2022-07-22-10:16:49,100,100,-94,-88,-81,100,-85,-88,100,-92,-81,-81,100,100,-82,-70,100,-80,-87,-76,-83,100,-54,-85,100,100
4,2022-07-22-10:16:54,100,100,100,-84,-86,100,-87,-92,100,-89,-81,-72,100,100,-89,-72,100,-85,-87,-75,-80,100,-54,-85,100,100
5,2022-07-22-10:16:59,100,100,100,-84,-84,100,-88,100,100,-78,-81,-73,100,100,-91,-69,100,-80,-84,-83,-80,100,-54,-86,100,100
6,2022-07-22-10:17:04,100,100,100,-85,-88,100,-86,100,100,-78,-82,-73,100,100,-90,-73,100,-82,-88,-76,-82,100,-53,-84,100,100
7,2022-07-22-10:17:09,100,100,100,-80,-91,100,-88,100,100,-80,-93,-73,100,100,-91,-72,100,-81,-85,-76,-87,100,-54,-85,100,100
8,2022-07-22-10:17:14,100,100,100,-83,-87,100,-88,100,100,-80,-81,-72,100,100,-86,-70,100,-84,-87,-85,-79,100,-54,-85,100,100
9,2022-07-22-10:17:19,100,100,100,-83,-88,100,-88,100,-98,-80,-82,-72,100,100,-85,-70,100,-80,-87,-76,-86,100,-53,-85,100,100
10,2022-07-22-10:17:24,100,100,100,-84,-85,100,-87,100,100,-80,-93,-73,100,100,-90,-68,100,-83,-84,-85,-82,100,-54,-84,100,100
11,2022-07-22-10:17:29,100,100,100,-79,100,100,-87,-91,100,-80,-82,-73,100,100,100,-72,100,-80,-87,-85,-82,100,-54,-85,100,100
12,2022-07-22-10:17:34,100,100,100,-79,-88,100,-87,-93,100,-91,-81,-73,100,100,-86,-71,100,-80,-84,-76,-82,100,-54,-84,100,100
13,2022-07-22-10:17:39,100,100,100,-79,-88,100,-86,-93,100,-91,-81,-89,100,100,-86,-70,100,-80,-83,-85,-86,100,-53,-84,100,100
14,2022-07-22-10:17:44,100,100,100,-86,-88,100,-88,-91,100,-91,-81,-73,100,100,-86,-70,100,-84,-87,-85,-86,100,-53,-87,100,100
15,2022-07-22-10:17:49,100,100,-97,-79,-88,100,-88,-93,100,-91,-81,-73,100,100,-90,-68,100,-80,-85,-85,-82,100,-54,-85,100,100
16,2022-07-22-10:17:54,100,100,100,-85,-85,100,-89,100,100,-79,-81,-72,100,100,-89,-71,100,-80,-87,-77,-86,100,-53,-83,100,100
17,2022-07-22-10:17:59,100,100,100,-86,100,100,-88,100,100,-92,-81,-85,100,100,100,-68,100,-84,-83,-83,100,100,-54,-84,100,100
18,2022-07-22-10:18:04,100,100,100,-84,-89,100,-87,-93,100,-80,-82,-72,100,100,-90,-70,100,-80,-84,-82,-82,100,-54,-83,100,100
19,2022-07-22-10:18:09,100,100,100,-79,-85,100,-88,100,-98,-91,-81,-73,100,100,-90,-72,100,-80,-84,-76,-86,100,-54,-85,100,100
20,2022-07-22-10:18:14,100,100,100,-79,-85,100,-88,-94,100,-91,-82,-73,100,100,-90,-70,100,-80,-84,-84,-79,100,-54,-86,100,100
21,2022-07-22-10:18:19,100,100,100,-86,-85,100,-87,-94,100,-91,-81,-72,100,100,-90,-70,100,-80,-84,-85,-79,100,-54,-86,100,100
22,2022-07-22-10:18:24,100,100,100,-82,-84,100,-90,-91,100,-83,-76,-73,100,100,-90,-68,100,-79,-84,-76,-86,100,-53,-87,100,100
23,2022-07-22-10:18:29,100,100,100,-82,-87,100,-93,-93,100,-85,-87,-73,100,100,-90,-70,100,-79,-88,-84,-86,100,-54,-87,100,100
24,2022-07-22-10:18:34,100,100,100,-84,-85,100,-88,100,100,-91,-93,-73,100,100,100,-68,100,-80,-87,-76,-82,100,-54,-85,100,100
25,2022-07-22-10:18:39,100,100,100,-79,-85,100,-87,-91,100,-79,-81,-73,100,100,-90,-68,100,-84,-84,-76,-82,100,-54,-86,100,100
26,2022-07-22-10:18:44,100,100,100,-79,-88,100,-88,-93,100,-80,-81,-73,100,100,-90,-70,100,-80,-87,-85,-86,100,-54,-86,100,100
27,2022-07-22-10:18:49,100,100,100,-86,-85,100,-88,-91,100,-80,-81,-72,100,100,-86,-70,100,-83,-87,-76,-79,100,-53,-84,100,100
28,2022-07-22-10:18:54,100,100,100,-86,-88,100,-89,100,100,-80,-82,-72,100,100,100,-72,100,-83,-87,-85,-86,100,-54,-86,100,100
29,2022-07-22-10:18:59,100,100,100,-79,-85,100,-88,-91,100,-80,-81,-88,100,100,-86,-70,100,-84,-87,-76,-82,100,-54,-85,100,100
30,2022-07-22-10:19:04,100,100,100,-84,100,100,-88,100,100,-80,-81,-73,100,100,-90,-68,100,-84,-84,-84,-86,100,-53,-84,100,100
31,2022-07-22-10:19:09,100,100,100,-86,-85,100,-87,-93,100,-91,-93,-73,100,100,-90,-70,100,-80,-84,-76,-79,100,-54,-84,100,100
32,2022-07-22-10:19:14,100,100,100,-79,-85,100,-87,-93,100,-80,-82,-88,100,100,-85,-68,100,-80,-87,-76,-80,100,-54,-85,100,100
33,2022-07-22-10:19:19,100,100,-97,-79,100,100,-88,-93,100,-80,-81,-72,100,100,-90,-72,100,-84,-87,-84,-80,100,-53,-86,100,100
34,2022-07-22-10:19:24,100,100,-97,-79,-85,100,-87,-93,100,-80,-81,-72,100,100,-86,-72,100,-80,-87,-84,-79,100,-54,-86,100,100
35,2022-07-22-10:19:29,100,100,100,-79,100,100,-88,-91,100,-80,-81,-72,100,100,-90,-71,100,-83,-84,-85,-82,100,-53,-84,100,100
36,2022-07-22-10:19:34,100,100,100,-79,-88,100,-87,-91,100,-80,-81,-72,100,100,-90,-68,100,-80,-87,-85,-82,100,-54,-84,100,100
37,2022-07-22-10:19:39,100,100,100,-86,-87,100,-88,-93,100,-91,-82,-72,100,100,-90,-70,100,-79,-87,-85,-82,100,-53,-85,100,100
38,2022-07-22-10:19:44,100,100,100,-83,-85,100,-87,-92,100,-80,-93,-72,100,100,-86,-70,100,-84,-84,-84,-79,100,-53,-87,100,100
39,2022-07-22-10:19:49,100,100,100,-84,-85,100,-88,100,100,-91,-81,-72,100,100,-86,-72,100,-81,-88,-84,-82,100,-53,-84,100,100
40,2022-07-22-10:19:54,100,100,-97,-84,-85,100,-88,100,100,-80,-81,-72,100,100,-90,-70,100,-80,-87,-76,-86,100,-54,100,100,100
41,2022-07-22-10:19:59,100,100,-97,-84,-85,100,-87,100,100,-91,-82,-72,100,100,-86,-70,100,-80,-87,-84,-86,100,-53,-85,100,100
42,2022-07-22-10:20:04,100,100,100,-79,-85,100,-88,100,100,-79,-81,-72,100,100,-90,-68,100,-80,-87,-76,-79,100,-53,-85,100,100
43,2022-07-22-10:20:09,100,100,100,-86,-85,100,-88,-93,100,-91,100,-73,100,100,-90,-72,100,-80,-87,-76,-79,100,-54,-84,100,100
44,2022-07-22-10:20:14,100,100,100,-84,-85,100,-89,-93,100,-80,-93,-72,100,100,-90,-70,100,-80,-84,-76,-86,100,-54,-86,100,100
45,2022-07-22-10:20:19,100,100,100,-79,-88,100,-89,100,100,-80,-81,-88,100,100,-90,-70,100,-79,-84,-76,-82,100,-54,-85,100,100
46,2022-07-22-10:20:24,100,100,100,-79,-88,100,-87,-93,100,-80,-93,-72,100,100,-86,-70,100,-80,-88,-76,-80,100,-54,-86,100,100
47,2022-07-22-10:20:29,100,100,100,-79,-88,100,-87,100,100,-80,-93,-73,100,100,-86,-70,100,-84,-87,-85,-80,100,-54,100,100,100
48,2022-07-22-10:20:34,100,100,-97,-79,-88,100,-89,-93,100,-91,-82,-88,100,100,-85,-72,100,-80,-87,-76,-82,100,-54,-84,100,100
49,2022-07-22-10:20:39,100,100,100,-84,-88,100,-88,-93,100,-91,-81,-73,100,100,-86,-72,100,-81,-84,-85,-80,100,-53,-84,100,100
50,2022-07-22-10:20:44,100,100,100,-84,-85,100,-88,-93,100,-91,-81,-88,100,100,-90,-72,100,-80,-87,-76,-87,100,-53,-86,100,100
51,2022-07-22-10:20:49,100,100,100,-79,-85,100,-87,100,100,-80,-81,-72,100,100,-86,-70,100,-80,-87,-85,-80,100,-53,-86,100,100
52,2022-07-22-10:20:54,100,100,100,-84,-85,100,-88,-93,100,-80,-81,-72,100,100,-86,-72,100,-84,-84,-85,-80,100,-54,-86,100,100
53,2022-07-22-10:20:59,100,100,100,-79,-85,100,-88,-91,100,-80,-93,-72,100,100,-89,-71,100,-84,-84,-85,-80,100,-54,-85,100,100
54,2022-07-22-10:21:04,100,100,100,-79,-85,100,-88,-93,100,-80,-81,-73,100,100,-91,-72,100,-84,-87,-85,-82,100,-53,-84,100,100
55,2022-07-22-10:21:09,100,100,-97,-84,-85,100,-87,-93,100,-91,-81,-73,100,100,-86,-68,100,-84,-84,-84,-86,100,-53,-85,100,100
56,2022-07-22-10:21:14,100,100,100,-84,-85,100,-89,-93,100,-91,-81,-72,100,100,-86,-72,100,-80,-87,-76,100,100,-53,-86,100,100
57,2022-07-22-10:21:19,100,100,100,100,100,100,-88,100,-98,100,-82,-73,100,100,100,-68,100,-81,-87,-84,100,100,100,100,100,100
58,2022-07-22-10:21:24,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
59,2022-07-22-10:21:29,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
